test,estimate,t_stat
Newey-West,0.0053342697555393065,3.1982605885329223
CAPM-alpha,0.006474112294949722,3.6903055746760836
Newey-West,0.005263580075920106,3.1411821401177913
CAPM-alpha,0.006420849932303397,3.6388451550553538
Newey-West,0.0076998724748745615,3.1351803604153705
CAPM-alpha,0.00882027153326392,4.121115252420163
Newey-West,0.00406817252547255,1.8582469614123214
CAPM-alpha,0.004923418528087525,1.9835736313522154
Newey-West,0.005470472203185198,3.2237755837724515
CAPM-alpha,0.0064965171121681466,3.597247489925495
Newey-West,0.005465418668064692,3.2008816072835953
CAPM-alpha,0.0065232771426499666,3.587843434569264
Newey-West,0.009154351694806604,3.6415031329622507
CAPM-alpha,0.01016513161515318,4.472727464182748
Newey-West,0.0034988183907681074,1.584661731087851
CAPM-alpha,0.004254365495394976,1.6860123031340895
Newey-West,0.005475466972747157,3.214221976620515
CAPM-alpha,0.006513707899818227,3.594594737755749
Newey-West,0.0054750360802554646,3.202986301696587
CAPM-alpha,0.006532057680565827,3.590654466696366
Newey-West,0.00904175407996311,3.5729415360041195
CAPM-alpha,0.010063299233533989,4.400138076734676
Newey-West,0.0035667499294484784,1.6096170572480164
CAPM-alpha,0.0043340261750661226,1.7125891557856379
Newey-West,0.005285996590074687,3.1776131578179974
CAPM-alpha,0.0064316236700067255,3.677755689054248
Newey-West,0.005194215447231916,3.1266829717274955
CAPM-alpha,0.006353887344856841,3.6383887679791878
Newey-West,0.007801554763172204,3.162483815361496
CAPM-alpha,0.008926149412562069,4.1441494412476505
Newey-West,0.003939641511515451,1.809805937387873
CAPM-alpha,0.004800053459103634,1.944529828345604
Newey-West,0.005297751874428732,3.177503045599298
CAPM-alpha,0.00642900242254054,3.6590871772480766
Newey-West,0.0052143713386622005,3.1357674094370407
CAPM-alpha,0.006349744965176897,3.623723228373024
Newey-West,0.00768958447265276,3.1205610290655903
CAPM-alpha,0.008805517793797157,4.086082153348502
Newey-West,0.0040176161176327715,1.8384349995121239
CAPM-alpha,0.004861149110080566,1.9571884496316962
Newey-West,0.006994164232848939,3.2999855031420045
CAPM-alpha,0.008277621466030335,3.6534878646600215
Newey-West,0.007075787129454911,3.291948752134743
CAPM-alpha,0.00841132113746633,3.6662862435399433
Newey-West,0.011404691638590793,3.675624232614012
CAPM-alpha,0.012658488846523616,4.510133364155576
Newey-West,0.004633600269212454,1.6718294124868023
CAPM-alpha,0.005593276818294611,1.7600353313806112
Newey-West,0.006958023946454284,3.2753058493482587
CAPM-alpha,0.008206871452617058,3.6171453196780488
Newey-West,0.007051682846111466,3.2851361992867334
CAPM-alpha,0.008361020948937467,3.650010619831476
Newey-West,0.011083523895210648,3.595601255995092
CAPM-alpha,0.012298040526591218,4.374907359055306
Newey-West,0.00475000988937341,1.7023224504857564
CAPM-alpha,0.00569183026957466,1.7828763032554082
Newey-West,0.0065921945424643295,3.1849384611225062
CAPM-alpha,0.008063999187942419,3.7122688832979307
Newey-West,0.006577000790281459,3.15843957869948
CAPM-alpha,0.008069177065591982,3.6931016814632622
Newey-West,0.009728050567405347,3.199875162480028
CAPM-alpha,0.011149386010303367,4.217082621018227
Newey-West,0.004913849064326885,1.8078923660628687
CAPM-alpha,0.0060490476015944315,1.9662089444491213
Newey-West,0.006739404510825157,3.2232185791398966
CAPM-alpha,0.00816488146260518,3.699582088233971
Newey-West,0.006668664126177612,3.177404871525252
CAPM-alpha,0.008102389619590152,3.657964672203782
Newey-West,0.009628024916156991,3.1674118682245096
CAPM-alpha,0.01103413687747637,4.1715450032038
Newey-West,0.005193382322056005,1.883196678024848
CAPM-alpha,0.0062573187546397435,1.9933988702923717
Newey-West,0.007237569087889107,3.4083627890732093
CAPM-alpha,0.008511162319081502,3.7551974406884745
Newey-West,0.007238548736305721,3.390950238305075
CAPM-alpha,0.008527444293844442,3.740720324579485
Newey-West,0.011974385211798949,3.8085793460402573
CAPM-alpha,0.013249537367310804,4.648552587191581
Newey-West,0.004702371725796514,1.7029962161403822
CAPM-alpha,0.005613536046740858,1.7788825363833056
Newey-West,0.007189754476414976,3.3924901039362862
CAPM-alpha,0.008441297583710813,3.72812764686609
Newey-West,0.007304125657378407,3.4196461826657143
CAPM-alpha,0.008576894382618284,3.75753933191221
Newey-West,0.011695814340213238,3.7792205894793502
CAPM-alpha,0.012931139151904202,4.583334419931683
Newey-West,0.004778060464804636,1.7232887518948452
CAPM-alpha,0.005696583534924905,1.797097653645788
Newey-West,0.006781436629382153,3.2572127741828227
CAPM-alpha,0.008255115660345707,3.7742566648499736
Newey-West,0.006703207733836009,3.2212029937883195
CAPM-alpha,0.008172173734828954,3.7379751024642536
Newey-West,0.010070607277313142,3.28032238554427
CAPM-alpha,0.011504204472130792,4.314382582961545
Newey-West,0.005021035437531767,1.8399158488083545
CAPM-alpha,0.006143599743812499,1.986875216036521
Newey-West,0.006756622195281824,3.236062004007091
CAPM-alpha,0.00819520210095645,3.7275193925510184
Newey-West,0.006693781704622614,3.199984164005299
CAPM-alpha,0.00815380164389181,3.7021850082982684
Newey-West,0.00982639147464216,3.2063825253473626
CAPM-alpha,0.011228026508947655,4.203694741937173
Newey-West,0.005113647088018548,1.86428461598353
CAPM-alpha,0.0062078133900844296,1.993573140934549
